SampleNumber	Num	FullSampleID	NewLabel	SampleNameR	NumberFiguresTables	Habitat	SedimentHorizon	MatSystem	ColorR	SRAEntry	ProjectID	AcessionID	R1_fastq	R2_fastq
Sample 1	X1	1_GY08-009_YellowMat_0-1cm	1a YellowMat 0-1cm	Sample_1a_YellowMat_0.1cm	1a	Yellow Mat	0-1cm	Yellow mat 1	yellow	SRP110312	PRJNA391741	SAMN07274333	1_S1_L001_R1_001.fastq.gz	1_S1_L001_R2_001.fastq.gz
Sample 2	X2	2_GY08-010_YellowMat_0-1cm	1b YellowMat 0-1cm	Sample_1b_YellowMat_0.1cm	1b	Yellow Mat	0-1cm	Yellow mat 1	yellow	SRP110312	PRJNA391741	SAMN07274334	2_S2_L001_R1_001.fastq.gz	2_S2_L001_R2_001.fastq.gz
Sample 3	X3	3_GY08-012_YellowMat_1-2cm	2 YellowMat 1-2cm	Sample_2_YellowMat_1.2cm	2	Yellow Mat	1-2cm	Yellow mat 1	yellow	SRP110312	PRJNA391741	SAMN07274335	3_S3_L001_R1_001.fastq.gz	3_S3_L001_R2_001.fastq.gz
Sample 4	X4	4_GY08-013_YellowMat_1-2cm	2b YellowMat 1-2 cm	Sample_2b_YellowMat_1.2_cm	2b	Yellow Mat		Yellow mat 1	yellow	SRP110312	PRJNA391741	SAMN07274336	4_S4_L001_R1_001.fastq.gz	4_S4_L001_R2_001.fastq.gz
Sample 5	X5	5_GY08-024_Edgeofmat_0-1cm	3b Edge 0-1cm	Sample_3b_Edge_0.1cm	3b			Yellow mat 1	yellow	SRP110312	PRJNA391741	SAMN07274337	5_S5_L001_R1_001.fastq.gz	5_S5_L001_R2_001.fastq.gz
Sample 6	X6	6_GY08-025_Edgeofmat_0-1cm	3 Edge 0-1cm	Sample_3_Edge_0.1cm	3	Edge of Mat	0-1cm	Yellow mat 1	yellow	SRP110312	PRJNA391741	SAMN07274338	6_S6_L001_R1_001.fastq.gz	6_S6_L001_R2_001.fastq.gz
Sample 7	X7	7_GY08-027_Edgeofmat_1-2cm	4a Edge 1-2cm	Sample_4a_Edge_1.2cm	4a	Edge of Mat	1-2cm	Yellow mat 1	yellow	SRP110312	PRJNA391741	SAMN07274339	7_S7_L001_R1_001.fastq.gz	7_S7_L001_R2_001.fastq.gz
Sample 8	X8	8_GY08-028_Edgeofmat_1-2cm	4b Edge 1-2cm	Sample_4b_Edge_1.2cm	4b	Edge of Mat	1-2cm	Yellow mat 1	yellow	SRP110312	PRJNA391741	SAMN07274340	8_S8_L001_R1_001.fastq.gz	8_S8_L001_R2_001.fastq.gz
Sample 9	X9	9_GY08-039_Control-coldmud_0-1cm	5a Control 0-1cm	Sample_5a_Control_0.1cm	5a	Control	0-1cm	Yellow mat 1	blue	SRP110312	PRJNA391741	SAMN07274341	9_S9_L001_R1_001.fastq.gz	9_S9_L001_R2_001.fastq.gz
Sample 10	X10	10_GY08-040_Control-coldmud_0-1cm	5b Control 0-1cm	Sample_5b_Control_0.1cm	5b	Control	0-1cm	Yellow mat 1	blue	SRP110312	PRJNA391741	SAMN07274342	10_S10_L001_R1_001.fastq.gz	10_S10_L001_R2_001.fastq.gz
Sample 11	X11	11_GY08-042_Control-coldmud_1-2cm	6a Control 1-2cm	Sample_6a_Control_1.2cm	6a	Control	1-2cm	Yellow mat 1	blue	SRP110312	PRJNA391741	SAMN07274343	11_S11_L001_R1_001.fastq.gz	11_S11_L001_R2_001.fastq.gz
