Sample_ID,Dive_No,Type,Detail,Habitat,MatColor,Horizon,Sample_Name,Sample_Label,MatchName,New_Label,Geochem_label,Temp,pH,S_mgL,Fe_mgL,x,y,z
GY08_009,4476,Core C1,Yellow Mat,Mat,Yellow,0-1 cm,Sample_1a_YellowMat_0.1cm,1_AP,X1,1a,1a/b,29,6.33,19.85,0.16,2619,2314,1987
GY08_010,4476,Core C1,Yellow Mat,Mat,Yellow,0-1 cm,Sample_1b_YellowMat_0.1cm,2_AP,X2,1b,,,,,,,,
GY08_012,4476,Core C1,Yellow Mat,Mat,Yellow,1-2 cm,Sample_2_YellowMat_1.2cm,3_AP,X3,2,,,,,,,,
GY08_013,4476,Core C1,Yellow Mat,Mat,Yellow,1-2 cm,Sample_2b_YellowMat_1.2_cm,4_AP,X4,2b,,,,,,,,
GY08_024,4476,Core A3,Yellow Edge,Edge,Yellow,0-1 cm,Sample_3b_Edge_0.1cm,5_AP,X5,3b,,,,,,,,
GY08_025,4476,Core A3,Yellow Edge,Edge,Yellow,0-1 cm,Sample_3_Edge_0.1cm,6_AP,X6,3,3,,6.63,28.63,,,,
GY08_027,4476,Core A3,Yellow Edge,Edge,Yellow,1-2 cm,Sample_4a_Edge_1.2cm,7_AP,X7,4a,,,,,,,,
GY08_028,4476,Core A3,Yellow Edge,Edge,Yellow,1-2 cm,Sample_4b_Edge_1.2cm,8_AP,X8,4b,,,,,,,,
GY08_039,4476,Core C4,Control,Control,Yellow,0-1 cm,Sample_5a_Control_0.1cm,9_AP,X9,5a,5a/b,,6.43,0.58,,,,
GY08_040,4476,Core C4,Control,Control,Yellow,0-1 cm,Sample_5b_Control_0.1cm,10_AP,X10,5b,,,,,,,,
GY08_042,4476,Core C4,Control,Control,Yellow,1-2 cm,Sample_6a_Control_1.2cm,11_AP,X11,6a,,,,,,,,
GY08_043,4476,Core C4,Control,Control,Yellow,1-2 cm,Sample_6b_Control_1.2cm,12_AP,X12,6b,,,,,,,,
GY08_054,4477,Core #2,Yellow Mat,Mat,Yellow,0-1 cm,Sample_7_YellowMat_0.1cm,13_AP,X13,7,7,2.9,6.94,3.29,0.34,2415,812,2002
GY08_078,4477,Core #9,Control,Control,Yellow,2-3 cm,Sample_8_Control_2.3cm,14_AP,X14,8,,,,,,,,
GY08_212,4481,Core #3,Orange Mat,Mat,Orange,0-1 cm,Sample_9_OrangeMat_0.1cm,15_AP,X15,9,9,19,7.09,0,0.04,2636,1233,1988
GY08_214,4481,Core #3,Orange Mat,Mat,Orange,1-2 cm,Sample_10a_OrangeMat_1.2cm,16_AP,X16,10a,,,,,,,,
GY08_215,4481,Core #3,Orange Mat,Mat,Orange,1-2 cm,Sample_10b_OrangeMat_1.2cm,17_AP,X17,10b,,,,,,,,
GY08_221,4481,Core #5,Orange Edge,Edge,Orange,0-1 cm,Sample_11_Edge_0.1cm,18_AP,X18,11,11,9.7,7.15,0,0.04,2636,1233,1988
GY08_223,4481,Core #5,Orange Edge,Edge,Orange,1-2 cm,Sample_13a_Edge_1.2_cm,19_AP,X19,13a,,,,,,,,
GY08_224,4481,Core #5,Orange Edge,Edge,Orange,1-2 cm,Sample_13b_Edge_1.2_cm,20_AP,X20,13b,,,,,,,,
GY08_230,4481,Core #12,Control,Control,Orange,0-1 cm,Sample_14_Control_0.1cm,21_AP,X21,14,14,2.5,7.34,0.2,0.2,2636,1233,1988
GY08_232,4481,Core #12,Control,Control,Orange,1-2 cm,Sample_12a_Control_1.2cm,22_AP,X22,12a,,,,,,,,
GY08_233,4481,Core #12,Control,Control,Orange,1-2 cm,Sample_12b_Control_1.2cm,23_AP,X23,12b,,,,,,,,
,4477,,Control,Control,Yellow,0-1cm,,none,none,15,15,,6.88,0.39,0.61,2417,814,2002
